category,organization,source_name,source_url,source_type,coverage,notes
core,OGD India,data.gov.in,https://data.gov.in,data portal,"Main open data hub, 7 lakh+ datasets","Main open data hub, 7 lakh+ datasets"
core,OGD India,data.gov.in APIs,https://www.data.gov.in/apis,data portal,Machine-readable data APIs,Machine-readable data APIs
core,OGD India,data.gov.in Sector Index,https://www.data.gov.in/sector,data portal,Sectoral dataset index,Sectoral dataset index
core,OGD India,data.gov.in Metrics,https://www.data.gov.in/metrics,data portal,Publisher activity dashboard,Publisher activity dashboard
core,OGD India,India.gov.in,https://www.india.gov.in,data portal,National citizen portal,National citizen portal
core,OGD India,iGOD Organizations,https://igod.gov.in,data portal,Central govt directory,Central govt directory
core,OGD India,iGOD Full Org List,https://igod.gov.in/ug/E002/organizations,data portal,Full organization directory,Full organization directory
core,OGD India,MyGov,https://mygov.in,data portal,Citizen engagement platform,Citizen engagement platform
legislation,Parliament/Legislation,India Code,https://www.indiacode.nic.in,legal,"All central acts, constitution, rules","All central acts, constitution, rules"
legislation,Parliament/Legislation,Legislative Dept,https://legislative.gov.in,legal,"Acts, constitution, rules","Acts, constitution, rules"
legislation,Parliament/Legislation,eGazette of India,https://egazette.nic.in,legal,"Ordinances, notifications, acts","Ordinances, notifications, acts"
legislation,Parliament/Legislation,Lok Sabha Portal,https://loksabha.nic.in,legal,"Debates, questions, bills, members","Debates, questions, bills, members"
legislation,Parliament/Legislation,Rajya Sabha Portal,https://rajyasabha.nic.in,legal,"Debates, questions, bills","Debates, questions, bills"
legislation,Parliament/Legislation,Lok Sabha Questions Archive,https://loksabhadocs.nic.in,legal,Starred/unstarred questions,Starred/unstarred questions
legislation,Parliament/Legislation,MPA Bills List,https://mpa.gov.in/bills-list,legal,Government bills introduced,Government bills introduced
legislation,Parliament/Legislation,MPA Portal,https://mpa.gov.in,legal,Ministry of Parliamentary Affairs,Ministry of Parliamentary Affairs
legislation,Parliament/Legislation,PRS India Bill Tracker,https://prsindia.org/legislation,legal,"Bill status, summaries","Bill status, summaries"
legal_text,India Code,IPC 1860 Full Text,https://www.indiacode.nic.in/bitstream/123456789/2263/1/A1860-45.pdf,legislation,Indian Penal Code — all 511 sections,Indian Penal Code — all 511 sections
legal_text,India Code,Constitution of India,https://www.indiacode.nic.in/handle/123456789/15240,legislation,"All articles, schedules, amendments","All articles, schedules, amendments"
legal_text,India Code,CrPC Criminal Procedure Code,https://www.indiacode.nic.in/bitstream/123456789/1362/1/a1974-02.pdf,legislation,Code of Criminal Procedure,Code of Criminal Procedure
legal_text,India Code,PMLA 2002,https://www.indiacode.nic.in/handle/123456789/2036,legislation,Prevention of Money Laundering Act,Prevention of Money Laundering Act
legal_text,India Code,Prevention of Corruption Act,https://www.indiacode.nic.in/handle/123456789/2037,legislation,PCA 1988 with 2018 amendments,PCA 1988 with 2018 amendments
legal_text,India Code,RTI Act 2005,https://www.indiacode.nic.in/handle/123456789/1872,legislation,Right to Information Act full text,Right to Information Act full text
legal_text,India Code,Companies Act 2013,https://www.indiacode.nic.in/handle/123456789/2479,legislation,Corporate law provisions,Corporate law provisions
legal_text,India Code,Forest Conservation Act 1980,https://www.indiacode.nic.in/handle/123456789/13482,legislation,"Forest diversion rules, FCA 1980","Forest diversion rules, FCA 1980"
legal_text,India Code,Environment Protection Act 1986,https://www.indiacode.nic.in/handle/123456789/7654,legislation,EPA 1986 provisions,EPA 1986 provisions
legal_text,India Code,FEMA 1999,https://www.indiacode.nic.in/handle/123456789/4679,legislation,Foreign exchange violations,Foreign exchange violations
legal_text,India Code,Insolvency Bankruptcy Code IBC,https://ibbi.gov.in,legislation,IBC 2016 full text,IBC 2016 full text
legal_text,India Code,SEBI Act 1992,https://www.sebi.gov.in/legal/acts/jun-1992/the-securities-and-exchange-board-of-india-act-1992_1.html,legislation,Securities regulation,Securities regulation
legal_text,India Code,POCSO Act,https://www.indiacode.nic.in/handle/123456789/2132,legislation,Child protection act,Child protection act
legal_text,India Code,Competition Act 2002,https://www.cci.gov.in/sites/default/files/the_competition_act.pdf,legislation,Antitrust and monopoly law,Antitrust and monopoly law
legal_text,India Code,UAPA 1967,https://www.indiacode.nic.in/handle/123456789/2044,legislation,Unlawful activities prevention,Unlawful activities prevention
legal_text,India Code,Wildlife Protection Act,https://www.indiacode.nic.in/handle/123456789/1753,legislation,"Wildlife crime, species protection","Wildlife crime, species protection"
